factory_id,project_id,date,priority_level,distance_km,weather_index,traffic_index,base_production_per_week,production_variability,routing_complexity,supply_risk,external_severity,day_of_week,is_weekend,week_of_month,priority_encoded,delay_hours,predicted_delay_hours,risk_label,current_reward,reward_at_risk,best_action,reward_delta,new_pred_hours,recommendation,base_value,shap_distance_km,shap_weather_index,shap_traffic_index,shap_base_production_per_week,shap_production_variability,shap_routing_complexity,shap_supply_risk,shap_external_severity,shap_day_of_week,shap_is_weekend,shap_week_of_month,shap_priority_encoded,top_driver_1,top_driver_1_shap,top_driver_2,top_driver_2_shap,top_driver_3,top_driver_3_shap,top_mitigator,mitigator_shap,plain_explanation,dispatch_rank
F4,P172,2026-04-25,High,566.81,0.48,0.08,49,0.08,1.000063664859242,3.92,0.2799999999999999,5,1,3,2,5.979999999999999,5.83,low risk,15.0,20.0,none_needed,0.0,5.83,On-time — no action needed,7.697,1.549,-0.396,-0.574,0.222,0.0,0.067,-0.024,-2.746,0.024,0.002,0.55,-0.052,distance_km,1.549,week_of_month,0.55,base_production_per_week,0.222,supply_risk,-0.024,Base: 7.7h | Drivers: distance_km: +1.55h | week_of_month: +0.55h | base_production_per_week: +0.22h | Helping: supply_risk: -0.02h,1
F5,P120,2026-04-25,Low,616.49,0.48,0.08,31,0.14,1.027116121775976,4.340000000000001,0.2799999999999999,5,1,3,0,2.7600000000000016,5.86,low risk,10.0,10.0,none_needed,0.0,5.86,On-time — no action needed,7.697,1.693,-0.41,-0.55,-0.167,-0.028,0.041,-0.017,-2.905,0.067,-0.0,0.283,0.055,distance_km,1.693,week_of_month,0.283,day_of_week,0.067,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +1.69h | week_of_month: +0.28h | day_of_week: +0.07h | Helping: is_weekend: -0.00h,21
F2,P4,2026-04-25,High,451.69,0.48,0.08,42,0.06,1.0157405214403126,2.52,0.2799999999999999,5,1,3,2,5.949999999999999,4.72,low risk,15.0,20.0,none_needed,0.0,4.72,On-time — no action needed,7.697,-0.208,-0.311,-0.533,-0.056,-0.005,0.052,0.022,-2.2,0.02,0.002,0.296,-0.04,week_of_month,0.296,routing_complexity,0.052,supply_risk,0.022,production_variability,-0.005,Base: 7.7h | Drivers: week_of_month: +0.30h | routing_complexity: +0.05h | supply_risk: +0.02h | Helping: production_variability: -0.01h,2
F3,P144,2026-04-25,Medium,768.57,0.48,0.08,43,0.15,1.009723790870426,6.45,0.2799999999999999,5,1,3,1,8.57,7.43,HIGH RISK,-15.39,15.39,reschedule,25.39,7.019,Reschedule to 2026-04-24 (severity 0.32) → pred 7.02h [Δ +25.4],7.697,4.112,-0.351,-0.679,0.018,-0.028,0.087,0.022,-3.457,0.051,0.006,0.47,0.045,distance_km,4.112,week_of_month,0.47,routing_complexity,0.087,production_variability,-0.028,Base: 7.7h | Drivers: distance_km: +4.11h | week_of_month: +0.47h | routing_complexity: +0.09h | Helping: production_variability: -0.03h,19
F1,P169,2026-04-25,Low,214.37,0.48,0.08,30,0.17,0.9982779225110332,5.1000000000000005,0.2799999999999999,5,1,3,0,2.74,2.6,low risk,10.0,10.0,none_needed,0.0,2.6,On-time — no action needed,7.697,-3.12,-0.16,-0.244,-0.109,-0.003,-0.03,-0.009,-1.955,-0.016,-0.0,0.438,0.114,week_of_month,0.438,priority_encoded,0.114,is_weekend,-0.0,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.44h | priority_encoded: +0.11h | Helping: is_weekend: -0.00h,22
F3,P109,2026-04-25,High,329.39,0.48,0.08,43,0.15,1.0552781998479723,6.45,0.2799999999999999,5,1,3,2,3.799999999999999,3.35,low risk,15.0,20.0,none_needed,0.0,3.35,On-time — no action needed,7.697,-1.924,-0.212,-0.349,-0.078,-0.03,-0.196,0.037,-2.054,0.013,0.002,0.284,-0.034,week_of_month,0.284,supply_risk,0.037,day_of_week,0.013,production_variability,-0.03,Base: 7.7h | Drivers: week_of_month: +0.28h | supply_risk: +0.04h | day_of_week: +0.01h | Helping: production_variability: -0.03h,3
F5,P177,2026-04-25,Medium,174.58,0.48,0.08,31,0.14,1.0261280381645672,4.340000000000001,0.2799999999999999,5,1,3,1,1.9499999999999995,1.7,low risk,10.0,10.0,none_needed,0.0,1.7,On-time — no action needed,7.697,-3.927,-0.138,-0.304,-0.109,-0.057,-0.037,-0.01,-1.862,0.012,-0.0,0.307,-0.024,week_of_month,0.307,day_of_week,0.012,is_weekend,-0.0,is_weekend,-0.0,Base: 7.7h | Drivers: week_of_month: +0.31h | day_of_week: +0.01h | Helping: is_weekend: -0.00h,23
F5,P189,2026-04-25,High,702.83,0.48,0.08,31,0.14,1.0244792306008164,4.340000000000001,0.2799999999999999,5,1,3,2,9.21,6.77,low risk,15.0,20.0,none_needed,0.0,6.77,On-time — no action needed,7.697,3.114,-0.399,-0.922,-0.135,-0.028,-0.096,-0.021,-3.06,0.048,0.002,0.274,-0.037,distance_km,3.114,week_of_month,0.274,day_of_week,0.048,supply_risk,-0.021,Base: 7.7h | Drivers: distance_km: +3.11h | week_of_month: +0.27h | day_of_week: +0.05h | Helping: supply_risk: -0.02h,4
F4,P103,2026-04-25,High,471.37,0.48,0.08,49,0.08,1.0033021541815272,3.92,0.2799999999999999,5,1,3,2,6.160000000000002,5.23,low risk,15.0,20.0,none_needed,0.0,5.23,On-time — no action needed,7.697,0.299,-0.314,-0.476,0.213,-0.001,0.058,-0.013,-2.518,0.024,0.002,0.503,-0.052,week_of_month,0.503,distance_km,0.299,base_production_per_week,0.213,production_variability,-0.001,Base: 7.7h | Drivers: week_of_month: +0.50h | distance_km: +0.30h | base_production_per_week: +0.21h | Helping: production_variability: -0.00h,5
F5,P191,2026-04-25,Low,663.16,0.48,0.08,31,0.14,1.0186467665582923,4.340000000000001,0.2799999999999999,5,1,3,0,5.240000000000002,6.24,low risk,10.0,10.0,none_needed,0.0,6.24,On-time — no action needed,7.697,2.239,-0.421,-0.656,-0.105,-0.027,-0.091,-0.021,-3.023,0.041,-0.0,0.268,0.034,distance_km,2.239,week_of_month,0.268,day_of_week,0.041,is_weekend,-0.0,Base: 7.7h | Drivers: distance_km: +2.24h | week_of_month: +0.27h | day_of_week: +0.04h | Helping: is_weekend: -0.00h,24
