distance_km,weather_index,traffic_index,base_production_per_week,production_variability,routing_complexity,supply_risk,external_severity,day_of_week,is_weekend,week_of_month,priority_encoded,delay_hours,factory_id,project_id,date,priority_level
593.61,0.55,0.21,31,0.14,0.99843138378066,4.340000000000001,0.38,2,0,0,2,3.82,F5,P125,2026-04-01,High
164.65,0.55,0.21,42,0.06,1.0234703965714778,2.52,0.38,2,0,0,2,1.92,F2,P102,2026-04-01,High
757.0,0.55,0.21,30,0.17,1.028338909322513,5.1000000000000005,0.38,2,0,0,2,8.159999999999997,F1,P137,2026-04-01,High
319.63,0.55,0.21,30,0.17,1.0007707112216937,5.1000000000000005,0.38,2,0,0,2,3.039999999999999,F1,P17,2026-04-01,High
164.74,0.55,0.21,42,0.06,1.0339498870518324,2.52,0.38,2,0,0,1,2.53,F2,P12,2026-04-01,Medium
490.0,0.55,0.21,30,0.17,1.0130529496595828,5.1000000000000005,0.38,2,0,0,1,3.3000000000000007,F1,P174,2026-04-01,Medium
176.04,0.55,0.21,43,0.15,0.9987615628380336,6.45,0.38,2,0,0,0,2.6499999999999995,F3,P94,2026-04-01,Low
628.08,0.55,0.21,43,0.15,1.0099318574527008,6.45,0.38,2,0,0,2,7.830000000000002,F3,P65,2026-04-01,High
320.29,0.55,0.21,42,0.06,1.0257531564230356,2.52,0.38,2,0,0,1,3.02,F2,P13,2026-04-01,Medium
728.47,0.55,0.21,43,0.15,1.0074192436437566,6.45,0.38,2,0,0,2,7.66,F3,P64,2026-04-01,High
537.43,0.55,0.21,42,0.06,1.0277566532964426,2.52,0.38,2,0,0,2,3.74,F2,P160,2026-04-01,High
430.2,0.55,0.21,49,0.08,0.9984345153391744,3.92,0.38,2,0,0,1,6.19,F4,P168,2026-04-01,Medium
376.92,0.55,0.21,31,0.14,1.020364725806719,4.340000000000001,0.38,2,0,0,0,2.460000000000001,F5,P133,2026-04-01,Low
531.96,0.55,0.21,43,0.15,1.0122056215289392,6.45,0.38,2,0,0,0,7.870000000000001,F3,P95,2026-04-01,Low
431.57,0.55,0.21,42,0.06,0.9982518299735842,2.52,0.38,2,0,0,0,3.9300000000000015,F2,P41,2026-04-01,Low
443.02,0.55,0.21,43,0.15,1.0228131352272414,6.45,0.38,2,0,0,0,6.249999999999998,F3,P21,2026-04-01,Low
285.1,0.55,0.21,31,0.14,1.011964664180618,4.340000000000001,0.38,2,0,0,0,2.8600000000000003,F5,P27,2026-04-01,Low
583.44,0.55,0.21,49,0.08,1.0218838662240877,3.92,0.38,2,0,0,2,3.5500000000000007,F4,P52,2026-04-01,High
585.94,0.55,0.21,30,0.17,1.0240829945923304,5.1000000000000005,0.38,2,0,0,0,7.200000000000001,F1,P158,2026-04-01,Low
279.31,0.55,0.21,42,0.06,1.0117914398098533,2.52,0.38,2,0,0,2,3.16,F2,P67,2026-04-01,High
426.03,0.55,0.21,43,0.15,1.0286338092085832,6.45,0.38,2,0,0,0,5.69,F3,P116,2026-04-01,Low
290.3,0.55,0.21,31,0.14,1.001298200445505,4.340000000000001,0.38,2,0,0,1,4.09,F5,P199,2026-04-01,Medium
613.48,0.55,0.21,30,0.17,1.0327357498651673,5.1000000000000005,0.38,2,0,0,1,3.9899999999999984,F1,P181,2026-04-01,Medium
671.11,0.55,0.21,43,0.15,1.0164964950455595,6.45,0.38,2,0,0,2,6.890000000000001,F3,P49,2026-04-01,High
802.34,0.55,0.21,43,0.15,1.0149648291823747,6.45,0.38,2,0,0,0,12.56,F3,P99,2026-04-01,Low
754.79,0.55,0.21,31,0.14,1.0064944497084134,4.340000000000001,0.38,2,0,0,0,11.64,F5,P9,2026-04-01,Low
519.18,0.55,0.21,49,0.08,1.022494457205349,3.92,0.38,2,0,0,1,3.91,F4,P59,2026-04-01,Medium
167.46,0.55,0.21,42,0.06,1.0083600714441785,2.52,0.38,2,0,0,0,2.09,F2,P107,2026-04-01,Low
495.3,0.55,0.21,42,0.06,0.9984780658524834,2.52,0.38,2,0,0,1,3.61,F2,P146,2026-04-01,Medium
88.14,0.55,0.21,43,0.15,0.9984509186311136,6.45,0.38,2,0,0,0,0.98,F3,P24,2026-04-01,Low
354.92,0.55,0.21,30,0.17,1.0298719290878302,5.1000000000000005,0.38,2,0,0,2,2.8000000000000007,F1,P23,2026-04-01,High
553.55,0.55,0.21,49,0.08,0.9997145160689064,3.92,0.38,2,0,0,1,4.989999999999998,F4,P35,2026-04-01,Medium
720.11,0.55,0.21,49,0.08,1.021568244930617,3.92,0.38,2,0,0,0,9.97,F4,P8,2026-04-01,Low
501.12,0.55,0.21,42,0.06,1.0293974444963092,2.52,0.38,2,0,0,1,4.74,F2,P165,2026-04-01,Medium
357.09,0.55,0.21,42,0.06,1.0062246334974896,2.52,0.38,2,0,0,0,2.7200000000000006,F2,P24,2026-04-01,Low
631.46,0.55,0.21,43,0.15,1.014245174969472,6.45,0.38,2,0,0,2,10.130000000000004,F3,P56,2026-04-01,High
830.11,0.55,0.21,30,0.17,1.0336955731951467,5.1000000000000005,0.38,2,0,0,0,11.96,F1,P10,2026-04-01,Low
507.27,0.55,0.21,43,0.15,1.0455100694099375,6.45,0.38,2,0,0,1,6.23,F3,P150,2026-04-01,Medium
773.58,0.55,0.21,30,0.17,1.0288127708107084,5.1000000000000005,0.38,2,0,0,2,5.350000000000001,F1,P109,2026-04-01,High
337.58,0.55,0.21,42,0.06,1.032940359226938,2.52,0.38,2,0,0,1,3.790000000000001,F2,P33,2026-04-01,Medium
405.51,0.55,0.21,42,0.06,1.035028831584361,2.52,0.38,2,0,0,0,4.399999999999999,F2,P8,2026-04-01,Low
754.82,0.55,0.21,31,0.14,1.0029026782622783,4.340000000000001,0.38,2,0,0,1,8.719999999999999,F5,P6,2026-04-01,Medium
853.65,0.55,0.21,49,0.08,1.0010364049596043,3.92,0.38,2,0,0,1,11.44,F4,P6,2026-04-01,Medium
391.24,0.55,0.21,49,0.08,0.9983724899971717,3.92,0.38,2,0,0,0,4.4300000000000015,F4,P182,2026-04-01,Low
796.02,0.55,0.21,30,0.17,1.02410317202017,5.1000000000000005,0.38,2,0,0,2,7.610000000000003,F1,P96,2026-04-01,High
687.73,0.55,0.21,43,0.15,0.998243983149344,6.45,0.38,2,0,0,0,4.779999999999998,F3,P200,2026-04-01,Low
391.24,0.55,0.21,49,0.08,0.9983724899971717,3.92,0.38,2,0,0,0,4.41,F4,P182,2026-04-01,Low
836.75,0.55,0.21,30,0.17,1.030835894564784,5.1000000000000005,0.38,2,0,0,0,11.519999999999996,F1,P166,2026-04-01,Low
568.44,0.55,0.21,30,0.17,1.0044063237232204,5.1000000000000005,0.38,2,0,0,0,6.259999999999998,F1,P145,2026-04-01,Low
75.41,0.95,0.78,43,0.15,1.0092319910251302,6.45,0.865,3,0,0,0,1.96,F3,P9,2026-04-02,Low
418.7,0.95,0.78,31,0.14,1.0131041357244996,4.340000000000001,0.865,3,0,0,1,9.38,F5,P193,2026-04-02,Medium
225.08,0.95,0.78,42,0.06,1.0425874467662113,2.52,0.865,3,0,0,2,5.47,F2,P130,2026-04-02,High
653.73,0.95,0.78,43,0.15,1.0061843355966629,6.45,0.865,3,0,0,1,12.79,F3,P176,2026-04-02,Medium
502.6,0.95,0.78,43,0.15,1.0511579287088688,6.45,0.865,3,0,0,1,11.1,F3,P111,2026-04-02,Medium
507.27,0.95,0.78,43,0.15,1.0455100694099375,6.45,0.865,3,0,0,1,15.57,F3,P150,2026-04-02,Medium
840.16,0.95,0.78,30,0.17,1.035099573877693,5.1000000000000005,0.865,3,0,0,1,15.189999999999998,F1,P150,2026-04-02,Medium
507.71,0.95,0.78,49,0.08,1.0222392198066732,3.92,0.865,3,0,0,0,13.92,F4,P148,2026-04-02,Low
245.2,0.95,0.78,42,0.06,1.025199145905967,2.52,0.865,3,0,0,1,5.87,F2,P134,2026-04-02,Medium
736.88,0.95,0.78,49,0.08,0.9987635321389456,3.92,0.865,3,0,0,2,18.379999999999995,F4,P48,2026-04-02,High
76.22,0.95,0.78,31,0.14,1.0143667134802437,4.340000000000001,0.865,3,0,0,2,1.7700000000000002,F5,P188,2026-04-02,High
177.0,0.95,0.78,42,0.06,1.0416166074088362,2.52,0.865,3,0,0,0,5.23,F2,P104,2026-04-02,Low
631.46,0.95,0.78,43,0.15,1.014245174969472,6.45,0.865,3,0,0,2,16.43,F3,P56,2026-04-02,High
192.84,0.95,0.78,30,0.17,0.998855108134938,5.1000000000000005,0.865,3,0,0,0,3.9,F1,P105,2026-04-02,Low
374.38,0.95,0.78,42,0.06,1.0421987800650094,2.52,0.865,3,0,0,2,7.650000000000002,F2,P189,2026-04-02,High
470.89,0.95,0.78,49,0.08,1.0129320663858965,3.92,0.865,3,0,0,0,12.7,F4,P107,2026-04-02,Low
429.53,0.95,0.78,30,0.17,1.022837578440182,5.1000000000000005,0.865,3,0,0,2,9.58,F1,P172,2026-04-02,High
653.29,0.95,0.78,49,0.08,1.0234954536007617,3.92,0.865,3,0,0,0,15.110000000000005,F4,P166,2026-04-02,Low
586.58,0.95,0.78,49,0.08,0.9988524005982558,3.92,0.865,3,0,0,0,15.11,F4,P78,2026-04-02,Low
75.91,0.95,0.78,42,0.06,1.0100295858533872,2.52,0.865,3,0,0,0,2.02,F2,P2,2026-04-02,Low
774.84,0.95,0.78,30,0.17,1.0341314937962378,5.1000000000000005,0.865,3,0,0,1,23.88,F1,P44,2026-04-02,Medium
264.12,0.95,0.78,30,0.17,1.0321462719975925,5.1000000000000005,0.865,3,0,0,0,7.380000000000001,F1,P179,2026-04-02,Low
482.3,0.95,0.78,49,0.08,0.9983174749674986,3.92,0.865,3,0,0,2,9.47,F4,P47,2026-04-02,High
71.5,0.95,0.78,42,0.06,1.0147288053361057,2.52,0.865,3,0,0,1,1.83,F2,P193,2026-04-02,Medium
655.19,0.95,0.78,31,0.14,1.0172530248178773,4.340000000000001,0.865,3,0,0,1,13.5,F5,P63,2026-04-02,Medium
46.06,0.95,0.78,43,0.15,1.0103821386519718,6.45,0.865,3,0,0,1,1.2000000000000002,F3,P174,2026-04-02,Medium
582.44,0.95,0.78,49,0.08,0.9994733864352118,3.92,0.865,3,0,0,1,11.28,F4,P90,2026-04-02,Medium
456.91,0.95,0.78,49,0.08,1.0213942978625008,3.92,0.865,3,0,0,0,11.73,F4,P62,2026-04-02,Low
282.61,0.95,0.78,43,0.15,1.0061796393656028,6.45,0.865,3,0,0,1,6.699999999999999,F3,P187,2026-04-02,Medium
337.58,0.95,0.78,42,0.06,1.032940359226938,2.52,0.865,3,0,0,1,9.980000000000002,F2,P33,2026-04-02,Medium
815.53,0.95,0.78,30,0.17,1.0341432467768978,5.1000000000000005,0.865,3,0,0,0,18.89,F1,P66,2026-04-02,Low
532.91,0.95,0.78,42,0.06,1.015977516419119,2.52,0.865,3,0,0,0,13.46,F2,P99,2026-04-02,Low
342.75,0.95,0.78,49,0.08,1.0151547095028297,3.92,0.865,3,0,0,1,6.859999999999999,F4,P127,2026-04-02,Medium
523.01,0.95,0.78,30,0.17,1.0290688132267485,5.1000000000000005,0.865,3,0,0,0,11.4,F1,P192,2026-04-02,Low
174.81,0.95,0.78,43,0.15,1.0549443879393765,6.45,0.865,3,0,0,0,3.01,F3,P91,2026-04-02,Low
56.93,0.95,0.78,31,0.14,0.9998517811791036,4.340000000000001,0.865,3,0,0,1,1.62,F5,P59,2026-04-02,Medium
626.45,0.95,0.78,30,0.17,1.0185115911309814,5.1000000000000005,0.865,3,0,0,2,10.760000000000002,F1,P55,2026-04-02,High
479.53,0.95,0.78,30,0.17,1.0154774177440895,5.1000000000000005,0.865,3,0,0,1,12.13,F1,P30,2026-04-02,Medium
443.02,0.95,0.78,43,0.15,1.0228131352272414,6.45,0.865,3,0,0,0,13.12,F3,P21,2026-04-02,Low
456.91,0.95,0.78,49,0.08,1.0213942978625008,3.92,0.865,3,0,0,0,13.23,F4,P62,2026-04-02,Low
703.74,0.95,0.78,49,0.08,0.9982441010670248,3.92,0.865,3,0,0,0,15.580000000000002,F4,P38,2026-04-02,Low
169.12,0.95,0.78,31,0.14,1.0023809541710107,4.340000000000001,0.865,3,0,0,1,3.0699999999999994,F5,P123,2026-04-02,Medium
671.11,0.95,0.78,43,0.15,1.0164964950455595,6.45,0.865,3,0,0,2,12.41,F3,P49,2026-04-02,High
471.37,0.95,0.78,49,0.08,1.0033021541815272,3.92,0.865,3,0,0,2,13.26,F4,P103,2026-04-02,High
